date,target,model,forecast
2026-01-20,Net Daily Intake,Random Forest,0.37563893217893235
2025-12-22,Net Daily Intake,Exponential Smoothing,-2.6202433548630646
2025-12-23,Net Daily Intake,Exponential Smoothing,-2.230194102539193
2025-12-24,Net Daily Intake,Exponential Smoothing,-1.8401448502153213
2025-12-25,Net Daily Intake,Exponential Smoothing,-1.4500955978914498
2025-12-26,Net Daily Intake,Exponential Smoothing,-1.0600463455675784
2025-12-27,Net Daily Intake,Exponential Smoothing,-0.6699970932437065
2025-12-28,Net Daily Intake,Exponential Smoothing,-0.27994784091983504
2025-12-29,Net Daily Intake,Exponential Smoothing,0.1101014114040364
2025-12-30,Net Daily Intake,Exponential Smoothing,0.5001506637279078
2025-12-31,Net Daily Intake,Exponential Smoothing,0.8901999160517793
2026-01-01,Net Daily Intake,Exponential Smoothing,1.2802491683756507
2026-01-02,Net Daily Intake,Exponential Smoothing,1.670298420699523
2026-01-03,Net Daily Intake,Exponential Smoothing,2.0603476730233945
2026-01-04,Net Daily Intake,Exponential Smoothing,2.450396925347266
2026-01-05,Net Daily Intake,Exponential Smoothing,2.8404461776711374
2026-01-06,Net Daily Intake,Exponential Smoothing,3.230495429995009
2026-01-07,Net Daily Intake,Exponential Smoothing,3.6205446823188803
2026-01-08,Net Daily Intake,Exponential Smoothing,4.010593934642752
2026-01-09,Net Daily Intake,Exponential Smoothing,4.400643186966623
2026-01-10,Net Daily Intake,Exponential Smoothing,4.790692439290495
2026-01-11,Net Daily Intake,Exponential Smoothing,5.180741691614366
2026-01-12,Net Daily Intake,Exponential Smoothing,5.5707909439382375
2026-01-13,Net Daily Intake,Exponential Smoothing,5.960840196262109
2026-01-14,Net Daily Intake,Exponential Smoothing,6.350889448585982
2026-01-15,Net Daily Intake,Exponential Smoothing,6.740938700909854
2026-01-16,Net Daily Intake,Exponential Smoothing,7.130987953233725
2026-01-17,Net Daily Intake,Exponential Smoothing,7.5210372055575965
2026-01-18,Net Daily Intake,Exponential Smoothing,7.911086457881468
2026-01-19,Net Daily Intake,Exponential Smoothing,8.30113571020534
2026-01-20,Net Daily Intake,Exponential Smoothing,8.69118496252921
2025-12-22,Net Daily Intake,SARIMA,-4.789465397244657
2025-12-23,Net Daily Intake,SARIMA,-2.2186502266969077
2025-12-24,Net Daily Intake,SARIMA,-5.291291949424189
2025-12-25,Net Daily Intake,SARIMA,-6.138534363005164
2025-12-26,Net Daily Intake,SARIMA,-4.737325001663323
2025-12-27,Net Daily Intake,SARIMA,-3.249849116382932
2025-12-28,Net Daily Intake,SARIMA,-1.7747327441473226
2025-12-29,Net Daily Intake,SARIMA,-4.225703741497031
2025-12-30,Net Daily Intake,SARIMA,-1.993560639320814
2025-12-31,Net Daily Intake,SARIMA,-5.239592836560839
2026-01-01,Net Daily Intake,SARIMA,-6.175606245625186
2026-01-02,Net Daily Intake,SARIMA,-4.819845111247683
2026-01-03,Net Daily Intake,SARIMA,-3.355637426610471
2026-01-04,Net Daily Intake,SARIMA,-1.892433711860842
2026-01-05,Net Daily Intake,SARIMA,-4.3495036513055805
2026-01-06,Net Daily Intake,SARIMA,-2.120483034160289
2026-01-07,Net Daily Intake,SARIMA,-5.36811385500035
2026-01-08,Net Daily Intake,SARIMA,-6.304945713917707
2026-01-09,Net Daily Intake,SARIMA,-4.94960360260597
2026-01-10,Net Daily Intake,SARIMA,-3.485610445870495
